"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","FOURAGE","COMBARNOUS","AYRAULT","BREUS","BLINEAU","JOZAN","DEFRANCE"
" 0408 - Bureau de vote 0408","1142","26","640","15","625","22","9","348","4","28","203","11"
" 0409 - Bureau de vote 0409","954","17","556","4","552","12","8","232","5","48","244","3"
" 0410 - Bureau de vote 0410","883","15","500","8","492","24","3","280","2","36","143","4"
" 0411 - Bureau de vote 0411","938","23","570","8","562","16","7","218","2","34","285","0"
" 0412 - Bureau de vote 0412","905","8","537","11","526","10","4","241","7","40","219","5"
" 0413 - Bureau de vote 0413","1037","39","611","13","598","13","9","280","2","41","251","2"
" 0414 - Bureau de vote 0414","955","17","562","5","557","9","5","183","5","57","290","8"
" 0415 - Bureau de vote 0415","1031","29","599","12","587","6","7","139","1","38","396","0"
" 0416 - Bureau de vote 0416","961","14","473","5","468","9","14","139","1","44","258","3"
" 0417 - Bureau de vote 0417","1004","19","567","6","561","8","9","271","4","32","233","4"
" 0418 - Bureau de vote 0418","792","14","460","6","454","13","13","170","6","37","209","6"
" 0419 - Bureau de vote 0419","1396","20","713","21","692","37","11","344","4","55","232","9"
" 0420 - Bureau de vote 0420","914","17","515","11","504","11","11","165","5","36","275","1"
" 0421 - Bureau de vote 0421","1012","36","574","13","561","11","19","243","1","29","253","5"
" 0422 - Bureau de vote 0422","910","12","456","8","448","16","13","231","3","30","149","6"
" 0423 - Bureau de vote 0423","909","7","440","11","429","21","9","277","4","40","73","5"
" 0501 - Bureau de vote 0501","1040","11","620","11","609","30","12","339","5","58","160","5"
" 0502 - Bureau de vote 0502","816","14","496","4","492","31","5","311","5","26","104","10"
" 0503 - Bureau de vote 0503","949","11","578","6","572","22","23","340","2","43","126","16"
" 0504 - Bureau de vote 0504","1008","6","610","10","600","20","15","389","3","35","121","17"
" 0505 - Bureau de vote 0505","963","4","609","8","601","21","15","366","6","39","144","10"
" 0506 - Bureau de vote 0506","975","12","501","10","491","19","5","346","7","20","83","11"
" 0507 - Bureau de vote 0507","936","13","607","6","601","34","18","361","2","21","158","7"
" 0508 - Bureau de vote 0508","818","10","423","13","410","14","8","283","3","15","81","6"
" 0509 - Bureau de vote 0509","967","11","544","5","539","21","20","267","3","40","181","7"
" 0510 - Bureau de vote 0510","1200","19","659","8","651","39","12","400","5","44","141","10"
" 0511 - Bureau de vote 0511","1177","8","597","12","585","45","9","381","13","12","120","5"
" 0512 - Bureau de vote 0512","766","5","455","6","449","25","10","306","5","18","81","4"
" 0513 - Bureau de vote 0513","902","4","478","4","474","21","11","343","4","14","71","10"
" 0514 - Bureau de vote 0514","807","4","339","7","332","21","1","221","7","13","61","8"
" 0515 - Bureau de vote 0515","671","6","364","6","358","15","10","258","4","8","54","9"
" 0516 - Bureau de vote 0516","871","2","342","4","338","13","1","267","1","9","38","9"
" 0517 - Bureau de vote 0517","600","4","293","10","283","6","3","211","4","9","46","4"
" 0518 - Bureau de vote 0518","749","1","355","6","349","6","1","264","3","9","60","6"
" 0601 - Bureau de vote 0601","699","1","287","8","279","16","1","201","2","10","38","11"
" 0602 - Bureau de vote 0602","815","4","377","8","369","12","6","241","3","19","84","4"
" 0603 - Bureau de vote 0603","749","0","357","7","350","9","3","241","6","13","71","7"
" 0604 - Bureau de vote 0604","831","12","476","14","462","23","0","227","3","42","160","7"
" 0605 - Bureau de vote 0605","1086","7","624","10","614","9","3","280","3","56","257","6"
" 0606 - Bureau de vote 0606","925","12","506","9","497","17","6","232","10","41","188","3"
" 0607 - Bureau de vote 0607","929","6","510","12","498","12","2","320","4","26","129","5"
" 0608 - Bureau de vote 0608","980","10","555","12","543","13","7","278","3","47","187","8"
" 0609 - Bureau de vote 0609","738","6","432","13","419","13","1","264","2","25","113","1"
" 0610 - Bureau de vote 0610","1095","14","651","16","635","14","7","342","6","45","214","7"
" 0611 - Bureau de vote 0611","1023","26","600","8","592","10","12","193","5","55","316","1"
" 0612 - Bureau de vote 0612","935","22","577","9","568","19","7","202","5","69","261","5"
" 0613 - Bureau de vote 0613","984","12","566","12","554","13","4","227","4","42","259","5"
" 0614 - Bureau de vote 0614","933","13","559","16","543","10","9","188","5","47","279","5"
" 0615 - Bureau de vote 0615","863","21","531","14","517","21","6","280","2","35","170","3"
" 0616 - Bureau de vote 0616","1080","3","587","14","573","17","10","333","8","46","154","5"
" 0617 - Bureau de vote 0617","977","18","587","11","576","15","11","266","2","53","225","4"
" 0618 - Bureau de vote 0618","930","13","535","5","530","10","10","303","3","28","168","8"
" 0619 - Bureau de vote 0619","871","10","563","17","546","23","11","317","12","44","138","1"
" 0701 - Bureau de vote 0701","801","12","405","4","401","14","3","224","2","39","113","6"
" 0702 - Bureau de vote 0702","1090","8","567","7","560","22","6","389","10","26","87","20"
" 0703 - Bureau de vote 0703","1013","10","603","11","592","21","2","345","7","55","151","11"
" 0704 - Bureau de vote 0704","741","5","338","2","336","14","4","245","4","12","45","12"
" 0705 - Bureau de vote 0705","745","8","453","7","446","18","3","303","2","19","92","9"
" 0706 - Bureau de vote 0706","1084","3","422","5","417","22","2","318","7","13","48","7"
