"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","SARKOZY","HOLLANDE"
" 0509 - Bureau de vote 0509","925","64","753","31","722","281","441"
" 0510 - Bureau de vote 0510","1177","80","959","37","922","262","660"
" 0511 - Bureau de vote 0511","1157","44","895","39","856","241","615"
" 0512 - Bureau de vote 0512","783","24","613","29","584","131","453"
" 0513 - Bureau de vote 0513","907","31","710","26","684","141","543"
" 0514 - Bureau de vote 0514","789","22","548","23","525","147","378"
" 0515 - Bureau de vote 0515","657","32","491","21","470","110","360"
" 0516 - Bureau de vote 0516","856","18","564","20","544","97","447"
" 0517 - Bureau de vote 0517","545","25","393","22","371","96","275"
" 0518 - Bureau de vote 0518","656","18","477","13","464","119","345"
" 0601 - Bureau de vote 0601","630","20","453","21","432","119","313"
" 0602 - Bureau de vote 0602","752","38","544","23","521","173","348"
" 0603 - Bureau de vote 0603","704","27","539","22","517","156","361"
" 0604 - Bureau de vote 0604","766","39","611","26","585","303","282"
" 0605 - Bureau de vote 0605","1094","79","890","30","860","429","431"
" 0606 - Bureau de vote 0606","930","57","771","36","735","336","399"
" 0607 - Bureau de vote 0607","893","33","712","23","689","250","439"
" 0608 - Bureau de vote 0608","997","65","844","33","811","341","470"
" 0609 - Bureau de vote 0609","703","36","584","36","548","223","325"
" 0610 - Bureau de vote 0610","1117","58","914","34","880","356","524"
" 0611 - Bureau de vote 0611","989","86","846","33","813","507","306"
" 0612 - Bureau de vote 0612","948","91","822","25","797","450","347"
" 0613 - Bureau de vote 0613","1034","81","861","25","836","435","401"
" 0614 - Bureau de vote 0614","1009","80","853","25","828","440","388"
" 0615 - Bureau de vote 0615","870","63","730","30","700","317","383"
" 0616 - Bureau de vote 0616","1067","77","846","38","808","327","481"
" 0617 - Bureau de vote 0617","997","76","834","28","806","376","430"
" 0618 - Bureau de vote 0618","868","35","721","33","688","259","429"
" 0619 - Bureau de vote 0619","855","49","736","26","710","250","460"
" 0701 - Bureau de vote 0701","774","47","628","21","607","235","372"
" 0702 - Bureau de vote 0702","993","45","794","43","751","192","559"
" 0703 - Bureau de vote 0703","974","48","814","30","784","306","478"
" 0704 - Bureau de vote 0704","683","10","480","25","455","99","356"
" 0705 - Bureau de vote 0705","728","29","605","27","578","188","390"
" 0706 - Bureau de vote 0706","983","17","671","30","641","163","478"
" 0707 - Bureau de vote 0707","1225","37","894","40","854","215","639"
" 0708 - Bureau de vote 0708","737","19","537","29","508","137","371"
" 0709 - Bureau de vote 0709","984","36","784","36","748","221","527"
" 0710 - Bureau de vote 0710","820","26","588","26","562","111","451"
