"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","JOLY","LE_PEN","SARKOZY","MELENCHON","POUTOU","ARTHAUD","CHEMINADE","BAYROU","DUPONT_AIGNAN","HOLLANDE"
" 0319 - Bureau de vote 0319","1378","32","1114","11","1103","85","66","162","175","13","4","3","113","15","467"
" 0320 - Bureau de vote 0320","866","22","676","10","666","48","33","88","112","9","4","3","65","4","300"
" 0321 - Bureau de vote 0321","838","24","636","10","626","36","60","102","77","6","4","0","57","11","273"
" 0401 - Bureau de vote 0401","834","53","677","9","668","30","35","261","59","9","1","1","79","12","181"
" 0402 - Bureau de vote 0402","789","48","660","9","651","18","30","352","26","2","1","1","61","2","158"
" 0403 - Bureau de vote 0403","870","40","740","11","729","23","56","373","43","2","1","1","63","6","161"
" 0404 - Bureau de vote 0404","914","61","756","12","744","27","36","358","56","3","1","1","95","10","157"
" 0405 - Bureau de vote 0405","1126","84","951","12","939","24","49","521","38","2","1","0","97","9","198"
" 0406 - Bureau de vote 0406","791","38","668","6","662","22","41","328","40","1","0","2","78","9","141"
" 0407 - Bureau de vote 0407","1007","0","825","7","818","52","55","185","99","9","1","1","114","4","298"
" 0408 - Bureau de vote 0408","1171","56","973","11","962","45","48","259","132","8","3","3","103","13","348"
" 0409 - Bureau de vote 0409","953","68","804","4","800","34","30","358","62","2","1","2","106","10","195"
" 0410 - Bureau de vote 0410","864","46","729","11","718","33","40","219","80","7","2","3","92","4","238"
" 0411 - Bureau de vote 0411","886","78","766","12","754","34","22","326","60","5","1","1","68","15","222"
" 0412 - Bureau de vote 0412","894","43","755","10","745","29","38","261","71","5","4","0","95","13","229"
" 0413 - Bureau de vote 0413","1036","53","861","6","855","30","46","312","73","4","1","3","115","6","265"
" 0414 - Bureau de vote 0414","1000","51","854","8","846","41","36","396","42","5","2","2","117","7","198"
" 0415 - Bureau de vote 0415","1006","73","837","5","832","20","58","470","39","2","0","3","91","5","144"
" 0416 - Bureau de vote 0416","937","58","792","6","786","28","52","379","39","6","0","0","101","6","175"
" 0417 - Bureau de vote 0417","954","51","804","8","796","33","45","279","87","4","2","4","88","7","247"
" 0418 - Bureau de vote 0418","800","90","676","15","661","24","35","241","70","4","2","3","82","10","190"
" 0419 - Bureau de vote 0419","1299","52","1065","22","1043","52","63","317","128","6","5","1","123","11","337"
" 0420 - Bureau de vote 0420","871","42","723","7","716","37","37","331","57","4","0","1","85","10","154"
" 0421 - Bureau de vote 0421","944","46","756","9","747","24","31","276","87","5","1","3","86","12","222"
" 0422 - Bureau de vote 0422","919","44","754","10","744","44","42","174","84","6","3","0","114","12","265"
" 0423 - Bureau de vote 0423","919","29","717","10","707","32","54","104","110","8","4","0","96","16","283"
" 0501 - Bureau de vote 0501","1058","49","869","16","853","34","57","215","126","8","1","1","88","5","318"
" 0502 - Bureau de vote 0502","785","41","666","4","662","46","46","119","114","4","3","2","50","5","273"
" 0503 - Bureau de vote 0503","930","43","787","6","781","49","41","171","117","6","3","3","90","12","289"
" 0504 - Bureau de vote 0504","1013","50","850","4","846","62","68","157","129","10","6","1","79","10","324"
" 0505 - Bureau de vote 0505","929","43","766","10","756","22","52","140","97","3","6","3","89","14","330"
" 0506 - Bureau de vote 0506","947","26","705","15","690","25","81","115","114","8","3","1","44","7","292"
" 0507 - Bureau de vote 0507","962","47","802","7","795","41","52","170","122","7","3","4","89","10","297"
" 0508 - Bureau de vote 0508","783","27","594","9","585","35","52","102","91","5","6","1","52","7","234"
" 0509 - Bureau de vote 0509","923","39","761","7","754","48","48","199","92","11","1","2","88","9","256"
" 0510 - Bureau de vote 0510","1177","53","971","16","955","53","47","178","149","17","3","1","104","10","393"
" 0511 - Bureau de vote 0511","1157","19","895","9","886","40","78","144","144","6","5","2","91","17","359"
" 0512 - Bureau de vote 0512","783","13","621","13","608","27","55","69","95","6","5","2","56","6","287"
" 0513 - Bureau de vote 0513","907","7","717","9","708","32","92","72","112","15","3","2","47","10","323"
" 0514 - Bureau de vote 0514","788","29","560","8","552","23","81","96","71","5","3","2","29","5","237"
" 0515 - Bureau de vote 0515","657","42","496","15","481","16","48","70","85","5","3","1","32","7","214"
" 0516 - Bureau de vote 0516","855","12","550","4","546","11","61","60","76","5","2","1","30","8","292"
" 0517 - Bureau de vote 0517","545","11","384","6","378","11","62","48","56","3","2","1","11","2","182"
" 0518 - Bureau de vote 0518","656","12","468","6","462","9","69","69","59","3","3","1","28","6","215"
" 0601 - Bureau de vote 0601","629","15","456","7","449","22","74","53","53","12","2","0","29","5","199"
" 0602 - Bureau de vote 0602","751","19","550","9","541","18","57","107","67","6","5","0","57","4","220"
" 0603 - Bureau de vote 0603","704","19","530","12","518","12","54","97","69","4","4","1","47","7","223"
" 0604 - Bureau de vote 0604","766","29","604","12","592","16","59","186","46","8","4","0","86","10","177"
" 0605 - Bureau de vote 0605","1093","36","901","6","895","34","61","312","61","7","3","3","134","9","271"
" 0606 - Bureau de vote 0606","930","39","785","15","770","48","59","228","72","7","1","3","104","9","239"
" 0607 - Bureau de vote 0607","893","26","702","4","698","44","57","166","77","8","4","3","81","12","246"
" 0608 - Bureau de vote 0608","997","49","839","11","828","39","67","218","74","14","1","4","100","8","303"
" 0609 - Bureau de vote 0609","703","25","585","6","579","19","60","135","71","5","3","1","72","3","210"
" 0610 - Bureau de vote 0610","1114","40","922","11","911","52","75","221","79","7","4","0","134","8","331"
" 0611 - Bureau de vote 0611","989","57","841","4","837","29","44","376","50","3","1","0","136","14","184"
" 0612 - Bureau de vote 0612","946","80","825","14","811","40","52","325","55","5","0","1","104","11","218"
" 0613 - Bureau de vote 0613","1033","55","864","9","855","26","56","319","64","7","4","2","105","16","256"
" 0614 - Bureau de vote 0614","1008","67","858","13","845","27","72","329","78","6","3","2","93","12","223"
" 0615 - Bureau de vote 0615","868","40","729","11","718","31","48","211","66","3","3","4","104","8","240"
" 0616 - Bureau de vote 0616","1065","44","866","13","853","52","51","211","102","5","1","1","131","6","293"
" 0617 - Bureau de vote 0617","995","41","828","9","819","56","55","262","76","5","5","1","103","8","248"
" 0618 - Bureau de vote 0618","868","19","714","9","705","22","43","184","63","5","3","3","83","14","285"
" 0619 - Bureau de vote 0619","855","27","740","4","736","43","62","165","72","6","3","2","91","10","282"
" 0701 - Bureau de vote 0701","773","33","639","5","634","30","41","159","78","7","0","2","85","9","223"
" 0702 - Bureau de vote 0702","993","40","803","14","789","32","85","121","103","15","7","1","70","7","348"
" 0703 - Bureau de vote 0703","974","62","811","12","799","24","69","201","96","6","5","2","83","11","302"
" 0704 - Bureau de vote 0704","683","5","461","4","457","6","66","46","61","9","1","0","38","9","221"
" 0705 - Bureau de vote 0705","728","24","614","11","603","17","42","119","76","3","8","1","64","9","264"
" 0706 - Bureau de vote 0706","983","5","648","15","633","15","101","73","84","9","3","3","39","11","295"
" 0707 - Bureau de vote 0707","1225","21","874","20","854","23","104","112","136","5","6","2","60","10","396"
" 0708 - Bureau de vote 0708","737","12","527","10","517","17","55","82","77","8","4","2","51","4","217"
" 0709 - Bureau de vote 0709","984","29","779","12","767","35","104","124","120","15","3","1","52","9","304"
" 0710 - Bureau de vote 0710","820","10","575","11","564","19","73","56","102","5","2","1","31","4","271"
" 0711 - Bureau de vote 0711","761","35","662","4","658","32","65","181","57","6","1","3","90","9","214"
" 0712 - Bureau de vote 0712","793","16","603","12","591","21","46","128","79","6","3","2","60","7","239"
" 0713 - Bureau de vote 0713","1041","51","874","16","858","37","71","245","94","7","3","1","120","19","261"
" 0714 - Bureau de vote 0714","731","38","609","8","601","34","38","158","98","3","1","0","61","8","200"
" 0715 - Bureau de vote 0715","776","32","654","6","648","28","35","143","83","3","1","3","88","14","250"
" 0801 - Bureau de vote 0801","643","13","487","6","481","14","68","79","70","6","7","3","27","8","199"
" 0802 - Bureau de vote 0802","657","10","481","5","476","16","59","54","66","13","2","0","23","6","237"
" 0803 - Bureau de vote 0803","720","28","591","6","585","31","44","143","50","4","0","1","75","2","235"
" 0804 - Bureau de vote 0804","900","31","727","9","718","27","46","179","119","6","2","1","89","7","242"
" 0805 - Bureau de vote 0805","667","38","566","10","556","24","43","209","41","3","1","2","73","6","154"
" 0806 - Bureau de vote 0806","623","15","477","12","465","14","43","120","60","2","3","2","66","14","141"
" 0807 - Bureau de vote 0807","1076","54","939","14","925","52","48","258","91","2","1","6","165","11","291"
" 0808 - Bureau de vote 0808","1150","53","985","16","969","33","74","241","128","5","3","2","122","9","352"
" 0809 - Bureau de vote 0809","793","15","596","11","585","17","63","88","86","6","4","0","63","3","255"
" 0810 - Bureau de vote 0810","802","23","655","15","640","19","75","108","69","7","9","2","65","7","279"
" 0811 - Bureau de vote 0811","1095","24","856","17","839","32","99","125","105","9","4","4","75","13","373"
" 0812 - Bureau de vote 0812","1027","22","848","23","825","17","77","164","104","8","4","1","116","16","318"
" 0813 - Bureau de vote 0813","732","14","508","14","494","12","87","55","68","3","4","0","31","5","229"
" 0814 - Bureau de vote 0814","1170","39","998","17","981","55","76","220","125","6","6","2","101","17","373"
" 0815 - Bureau de vote 0815","1080","32","926","5","921","36","91","155","125","12","3","1","109","9","380"
" 0816 - Bureau de vote 0816","725","28","625","12","613","24","57","156","62","6","6","1","64","8","229"
" 0817 - Bureau de vote 0817","976","45","812","9","803","38","72","166","107","8","6","1","95","12","298"
" 0818 - Bureau de vote 0818","965","40","809","14","795","26","59","228","106","7","5","0","94","7","263"
" 0819 - Bureau de vote 0819","817","15","645","12","633","26","66","85","89","10","8","0","48","5","296"
" 0820 - Bureau de vote 0820","921","39","794","9","785","31","50","239","69","6","1","1","135","12","241"
" 0901 - Bureau de vote 0901","787","31","624","3","621","17","50","160","77","5","1","1","62","9","239"
" 0902 - Bureau de vote 0902","821","25","670","17","653","20","47","218","71","5","4","1","80","8","199"
" 0903 - Bureau de vote 0903","934","31","745","11","734","24","71","166","100","9","1","1","89","14","259"
" 0904 - Bureau de vote 0904","759","16","661","9","652","23","39","192","68","9","0","2","92","5","222"
" 0905 - Bureau de vote 0905","624","23","500","7","493","15","47","101","65","10","0","1","43","3","208"
" 0906 - Bureau de vote 0906","964","11","672","9","663","16","96","99","84","6","9","0","25","14","314"
" 0907 - Bureau de vote 0907","970","","736","19","717","25","89","123","103","7","3","1","72","7","287"
" 0908 - Bureau de vote 0908","718","9","469","10","459","8","59","56","73","9","5","0","26","6","217"
" 0909 - Bureau de vote 0909","675","6","460","9","451","8","48","44","60","6","3","0","17","2","263"
" 0910 - Bureau de vote 0910","747","26","621","7","614","34","65","120","71","6","7","3","60","6","242"
" 0911 - Bureau de vote 0911","878","21","719","8","711","17","62","188","65","5","5","1","74","18","276"
" 0912 - Bureau de vote 0912","838","14","677","14","663","14","74","120","101","11","1","2","64","9","267"
" 0913 - Bureau de vote 0913","1008","34","869","12","857","35","60","138","128","4","0","2","97","7","386"
" 0914 - Bureau de vote 0914","858","37","711","10","701","21","59","131","114","6","4","1","85","7","273"
" 0915 - Bureau de vote 0915","812","10","665","13","652","12","70","91","106","7","5","2","65","6","288"
" 0916 - Bureau de vote 0916","958","41","847","11","836","35","62","169","91","7","5","0","108","17","342"
" 0917 - Bureau de vote 0917","744","25","628","14","614","19","47","125","111","8","2","5","52","9","236"
" 0918 - Bureau de vote 0918","1061","21","854","2","852","37","92","185","120","8","7","1","63","10","329"
" 0919 - Bureau de vote 0919","858","34","718","11","707","44","64","133","98","5","3","0","69","10","281"
" 0920 - Bureau de vote 0920","751","19","637","10","627","28","72","88","87","12","5","1","49","7","278"
" 0921 - Bureau de vote 0921","973","45","829","6","823","37","48","180","135","5","2","2","120","10","284"
" 0922 - Bureau de vote 0922","1210","47","1058","12","1046","46","86","212","124","13","5","1","110","15","434"
" 0923 - Bureau de vote 0923","980","33","853","12","841","30","81","152","106","6","1","1","87","18","359"
