"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AYRAULT","DEFRANCE","PERALDI","HAROUSSEAU","BRUNEAU"
" 0416 - Bureau de vote 0416","977","9","475","19","456","128","12","9","293","14"
" 0417 - Bureau de vote 0417","976","9","555","13","542","248","20","15","247","12"
" 0418 - Bureau de vote 0418","783","3","404","16","388","153","16","10","198","11"
" 0419 - Bureau de vote 0419","1052","6","464","20","444","228","11","7","184","14"
" 0420 - Bureau de vote 0420","809","13","436","9","427","133","14","12","254","14"
" 0421 - Bureau de vote 0421","959","7","509","26","483","230","20","8","214","11"
" 0422 - Bureau de vote 0422","1349","3","609","24","585","345","39","15","169","17"
" 0501 - Bureau de vote 0501","777","2","437","9","428","234","20","9","160","5"
" 0502 - Bureau de vote 0502","833","3","433","10","423","287","23","6","99","8"
" 0503 - Bureau de vote 0503","850","4","455","20","435","256","34","7","126","12"
" 0504 - Bureau de vote 0504","954","2","495","13","482","285","26","20","134","17"
" 0505 - Bureau de vote 0505","945","1","536","17","519","325","43","10","121","20"
" 0506 - Bureau de vote 0506","906","3","402","9","393","250","27","12","88","16"
" 0507 - Bureau de vote 0507","898","5","531","8","523","320","25","22","138","18"
" 0508 - Bureau de vote 0508","813","4","392","15","377","233","30","9","88","17"
" 0509 - Bureau de vote 0509","887","6","457","11","446","245","31","6","149","15"
" 0510 - Bureau de vote 0510","1014","8","484","11","473","282","47","4","132","8"
" 0511 - Bureau de vote 0511","1052","2","501","16","485","300","40","10","98","37"
" 0512 - Bureau de vote 0512","696","1","394","10","384","262","36","7","61","18"
" 0513 - Bureau de vote 0513","850","2","466","18","448","311","33","9","66","29"
" 0514 - Bureau de vote 0514","744","","322","8","314","188","30","9","60","27"
" 0515 - Bureau de vote 0515","689","2","337","7","330","225","24","7","65","9"
" 0516 - Bureau de vote 0516","764","0","300","8","292","218","26","7","25","16"
" 0517 - Bureau de vote 0517","587","2","232","11","221","151","9","13","33","15"
" 0518 - Bureau de vote 0518","725","3","309","9","300","195","14","15","56","20"
" 0601 - Bureau de vote 0601","682","2","260","5","255","158","19","14","43","21"
" 0602 - Bureau de vote 0602","794","","372","15","357","241","13","11","78","14"
" 0603 - Bureau de vote 0603","756","3","365","14","351","230","20","12","73","16"
" 0604 - Bureau de vote 0604","819","","416","12","404","210","21","7","148","18"
" 0605 - Bureau de vote 0605","853","4","421","13","408","157","7","7","227","10"
" 0606 - Bureau de vote 0606","920","4","450","8","442","234","16","14","164","14"
" 0607 - Bureau de vote 0607","916","2","467","15","452","261","21","6","152","12"
" 0608 - Bureau de vote 0608","975","1","495","17","478","268","25","9","165","11"
" 0609 - Bureau de vote 0609","808","2","422","14","408","213","25","6","158","6"
" 0610 - Bureau de vote 0610","818","4","419","10","409","192","16","11","171","19"
" 0611 - Bureau de vote 0611","962","7","521","20","501","212","11","12","264","2"
" 0612 - Bureau de vote 0612","891","5","505","13","492","200","24","7","249","12"
" 0613 - Bureau de vote 0613","924","3","531","16","515","225","17","13","249","11"
" 0614 - Bureau de vote 0614","958","6","508","19","489","193","27","10","236","23"
" 0615 - Bureau de vote 0615","887","2","480","14","466","243","18","15","173","17"
" 0616 - Bureau de vote 0616","963","4","482","17","465","282","27","7","141","8"
" 0617 - Bureau de vote 0617","943","10","529","14","515","259","21","12","217","6"
" 0618 - Bureau de vote 0618","893","4","503","15","488","287","27","14","151","9"
" 0619 - Bureau de vote 0619","948","2","511","18","493","300","23","14","144","12"
" 0701 - Bureau de vote 0701","850","6","438","8","430","263","21","10","129","7"
" 0702 - Bureau de vote 0702","1004","","456","13","443","311","23","10","81","18"
" 0703 - Bureau de vote 0703","940","3","498","13","485","272","18","14","174","7"
" 0704 - Bureau de vote 0704","715","2","316","8","308","214","22","7","51","14"
" 0705 - Bureau de vote 0705","773","3","416","7","409","264","25","10","93","17"
" 0706 - Bureau de vote 0706","987","","363","12","351","243","22","8","47","31"
" 0707 - Bureau de vote 0707","1146","","477","11","466","308","29","12","100","17"
" 0708 - Bureau de vote 0708","838","","387","10","377","252","19","8","83","15"
" 0709 - Bureau de vote 0709","826","5","368","12","356","252","21","3","67","13"
" 0710 - Bureau de vote 0710","725","2","351","6","345","231","36","10","53","15"
" 0711 - Bureau de vote 0711","819","2","451","13","438","254","16","9","148","11"
" 0712 - Bureau de vote 0712","835","2","405","15","390","259","23","7","96","5"
" 0713 - Bureau de vote 0713","1034","6","555","21","534","273","21","13","202","25"
" 0714 - Bureau de vote 0714","1312","2","691","17","674","427","51","14","165","17"
" 0801 - Bureau de vote 0801","689","3","326","11","315","191","30","7","78","9"
" 0802 - Bureau de vote 0802","749","1","331","7","324","222","18","4","69","11"
" 0803 - Bureau de vote 0803","770","3","401","6","395","242","19","9","115","10"
" 0804 - Bureau de vote 0804","860","3","429","15","414","249","18","11","132","4"
" 0805 - Bureau de vote 0805","657","1","380","9","371","169","12","9","165","16"
" 0806 - Bureau de vote 0806","643","1","330","8","322","177","8","4","122","11"
" 0807 - Bureau de vote 0807","741","5","444","7","437","264","25","3","141","4"
" 0808 - Bureau de vote 0808","992","6","592","18","574","352","23","13","177","9"
" 0809 - Bureau de vote 0809","759","1","329","11","318","209","23","8","68","10"
" 0810 - Bureau de vote 0810","870","3","507","22","485","343","21","11","99","11"
" 0811 - Bureau de vote 0811","896","1","429","14","415","283","22","12","80","18"
" 0812 - Bureau de vote 0812","965","4","554","29","525","323","43","17","121","21"
" 0813 - Bureau de vote 0813","768","1","310","10","300","231","21","5","30","13"
" 0814 - Bureau de vote 0814","989","2","541","14","527","315","31","13","149","19"
" 0815 - Bureau de vote 0815","1281","2","674","21","653","445","42","15","131","20"
" 0816 - Bureau de vote 0816","993","1","575","20","555","296","33","17","193","16"
" 0817 - Bureau de vote 0817","863","6","462","7","455","298","29","5","112","11"
" 0818 - Bureau de vote 0818","794","3","388","13","375","242","25","10","92","6"
" 0901 - Bureau de vote 0901","797","2","420","9","411","226","21","11","139","14"
" 0902 - Bureau de vote 0902","853","5","479","9","470","233","18","11","192","16"
" 0903 - Bureau de vote 0903","787","0","390","6","384","221","20","8","123","12"
" 0904 - Bureau de vote 0904","845","2","496","12","484","251","28","11","184","10"
" 0905 - Bureau de vote 0905","753","5","385","12","373","235","22","4","105","7"
" 0906 - Bureau de vote 0906","897","3","388","13","375","238","33","9","72","23"
" 0907 - Bureau de vote 0907","775","2","398","12","386","235","18","11","106","16"
" 0908 - Bureau de vote 0908","736","1","292","12","280","186","27","10","41","16"
" 0909 - Bureau de vote 0909","691","0","302","4","298","215","20","10","38","15"
" 0910 - Bureau de vote 0910","733","1","432","8","424","266","31","16","97","14"
" 0911 - Bureau de vote 0911","879","3","508","13","495","300","32","14","138","11"
" 0912 - Bureau de vote 0912","1196","2","643","21","622","385","39","18","163","17"
" 0913 - Bureau de vote 0913","1294","0","669","21","648","420","37","16","162","13"
" 0914 - Bureau de vote 0914","889","3","496","14","482","310","35","8","111","18"
" 0915 - Bureau de vote 0915","818","","427","10","417","290","31","8","72","16"
" 0916 - Bureau de vote 0916","1020","5","629","10","619","366","39","11","185","18"
" 0917 - Bureau de vote 0917","736","5","456","12","444","288","28","7","110","11"
" 0918 - Bureau de vote 0918","1028","5","577","20","557","322","47","9","162","17"
" 0919 - Bureau de vote 0919","832","3","461","12","449","279","39","6","116","9"
" 0920 - Bureau de vote 0920","793","2","449","12","437","315","38","8","66","10"
" 0921 - Bureau de vote 0921","850","1","463","18","445","282","28","9","114","12"
" 0922 - Bureau de vote 0922","1083","7","690","23","667","370","41","18","221","17"
" 1001 - Bureau de vote 1001","870","4","401","17","384","259","12","6","95","12"
" 1002 - Bureau de vote 1002","750","3","362","16","346","215","12","8","100","11"
" 1003 - Bureau de vote 1003","828","1","314","7","307","237","11","7","42","10"
" 1004 - Bureau de vote 1004","822","2","444","16","428","284","22","9","102","11"
" 1005 - Bureau de vote 1005","789","1","375","14","361","222","24","2","103","10"
" 1006 - Bureau de vote 1006","683","4","345","9","336","213","14","7","93","9"
" 1007 - Bureau de vote 1007","1165","1","537","29","508","336","20","18","125","9"
" 1008 - Bureau de vote 1008","653","2","328","12","316","198","17","5","90","6"
" 1101 - Bureau de vote 1101","709","1","330","5","325","212","28","3","58","24"
" 1102 - Bureau de vote 1102","888","4","422","11","411","257","32","14","93","15"
