"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AUXIETTE","BECHU"
" 0509 - Bureau de vote 0509","933","11","490","13","477","293","184"
" 0510 - Bureau de vote 0510","1165","20","591","23","568","420","148"
" 0511 - Bureau de vote 0511","1150","5","532","24","508","387","121"
" 0512 - Bureau de vote 0512","771","4","381","18","363","297","66"
" 0513 - Bureau de vote 0513","891","5","406","8","398","331","67"
" 0514 - Bureau de vote 0514","738","4","237","7","230","180","50"
" 0515 - Bureau de vote 0515","641","5","280","10","270","211","59"
" 0516 - Bureau de vote 0516","860","2","253","14","239","202","37"
" 0517 - Bureau de vote 0517","554","3","185","8","177","141","36"
" 0518 - Bureau de vote 0518","702","1","294","11","283","229","54"
" 0601 - Bureau de vote 0601","670","3","218","11","207","158","49"
" 0602 - Bureau de vote 0602","759","3","318","8","310","227","83"
" 0603 - Bureau de vote 0603","728","1","326","14","312","224","88"
" 0604 - Bureau de vote 0604","807","5","402","20","382","206","176"
" 0605 - Bureau de vote 0605","1095","15","601","27","574","289","285"
" 0606 - Bureau de vote 0606","899","10","487","23","464","257","207"
" 0607 - Bureau de vote 0607","921","5","441","16","425","287","138"
" 0608 - Bureau de vote 0608","981","7","490","20","470","284","186"
" 0609 - Bureau de vote 0609","743","7","399","21","378","253","125"
" 0610 - Bureau de vote 0610","1052","10","524","16","508","290","218"
" 0611 - Bureau de vote 0611","1004","19","577","26","551","218","333"
" 0612 - Bureau de vote 0612","955","26","555","21","534","232","302"
" 0613 - Bureau de vote 0613","966","15","514","11","503","241","262"
" 0614 - Bureau de vote 0614","973","18","553","23","530","244","286"
" 0615 - Bureau de vote 0615","840","12","442","14","428","248","180"
" 0616 - Bureau de vote 0616","1047","13","547","19","528","347","181"
" 0617 - Bureau de vote 0617","967","15","528","14","514","269","245"
" 0618 - Bureau de vote 0618","878","2","483","18","465","286","179"
" 0619 - Bureau de vote 0619","840","7","478","21","457","313","144"
" 0701 - Bureau de vote 0701","750","13","379","10","369","234","135"
" 0702 - Bureau de vote 0702","1052","11","504","17","487","398","89"
" 0703 - Bureau de vote 0703","993","10","569","22","547","360","187"
" 0704 - Bureau de vote 0704","725","2","295","14","281","222","59"
" 0705 - Bureau de vote 0705","725","4","409","9","400","299","101"
" 0706 - Bureau de vote 0706","1059","3","319","13","306","254","52"
" 0707 - Bureau de vote 0707","1243","5","455","14","441","346","95"
" 0708 - Bureau de vote 0708","791","0","320","17","303","217","86"
" 0709 - Bureau de vote 0709","888","2","411","14","397","292","105"
