"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","ROYAL","SARKOZY"
" 0509 - Bureau de vote 0509","966","69","799","25","774","420","354"
" 0510 - Bureau de vote 0510","1170","59","967","46","921","638","283"
" 0511 - Bureau de vote 0511","1168","46","922","31","891","596","295"
" 0512 - Bureau de vote 0512","752","23","612","20","592","418","174"
" 0513 - Bureau de vote 0513","905","28","732","13","719","523","196"
" 0514 - Bureau de vote 0514","793","19","582","18","564","383","181"
" 0515 - Bureau de vote 0515","660","25","525","13","512","343","169"
" 0516 - Bureau de vote 0516","840","17","626","20","606","469","137"
" 0517 - Bureau de vote 0517","599","13","457","17","440","307","133"
" 0518 - Bureau de vote 0518","744","20","565","15","550","372","178"
" 0601 - Bureau de vote 0601","669","16","500","10","490","334","156"
" 0602 - Bureau de vote 0602","782","32","590","14","576","356","220"
" 0603 - Bureau de vote 0603","735","26","574","14","560","347","213"
" 0604 - Bureau de vote 0604","813","30","661","31","630","310","320"
" 0605 - Bureau de vote 0605","1065","59","918","33","885","387","498"
" 0606 - Bureau de vote 0606","904","49","773","30","743","352","391"
" 0607 - Bureau de vote 0607","900","36","733","16","717","389","328"
" 0608 - Bureau de vote 0608","988","50","849","31","818","442","376"
" 0609 - Bureau de vote 0609","743","35","617","20","597","320","277"
" 0610 - Bureau de vote 0610","1040","50","885","41","844","405","439"
" 0611 - Bureau de vote 0611","1012","123","855","36","819","307","512"
" 0612 - Bureau de vote 0612","922","81","784","27","757","317","440"
" 0613 - Bureau de vote 0613","962","41","833","35","798","332","466"
" 0614 - Bureau de vote 0614","929","65","806","38","768","311","457"
" 0615 - Bureau de vote 0615","845","59","728","24","704","381","323"
" 0616 - Bureau de vote 0616","1047","62","881","38","843","473","370"
" 0617 - Bureau de vote 0617","968","57","832","28","804","381","423"
" 0618 - Bureau de vote 0618","928","38","807","33","774","452","322"
" 0619 - Bureau de vote 0619","869","39","763","28","735","425","310"
" 0701 - Bureau de vote 0701","802","33","653","29","624","344","280"
" 0702 - Bureau de vote 0702","1083","30","922","34","888","595","293"
" 0703 - Bureau de vote 0703","1000","40","825","33","792","445","347"
" 0704 - Bureau de vote 0704","720","22","559","20","539","386","153"
" 0705 - Bureau de vote 0705","749","22","615","16","599","377","222"
" 0706 - Bureau de vote 0706","1061","16","799","19","780","560","220"
" 0707 - Bureau de vote 0707","1276","25","976","26","950","663","287"
" 0708 - Bureau de vote 0708","819","23","649","31","618","393","225"
" 0709 - Bureau de vote 0709","911","30","751","24","727","481","246"
" 0710 - Bureau de vote 0710","821","29","632","14","618","452","166"
" 0711 - Bureau de vote 0711","756","48","668","24","644","315","329"
" 0712 - Bureau de vote 0712","833","27","680","14","666","418","248"
" 0713 - Bureau de vote 0713","1033","60","861","42","819","414","405"
" 0714 - Bureau de vote 0714","718","54","609","25","584","324","260"
" 0715 - Bureau de vote 0715","760","51","666","23","643","405","238"
" 0801 - Bureau de vote 0801","723","20","565","18","547","363","184"
" 0802 - Bureau de vote 0802","733","27","585","17","568","392","176"
" 0803 - Bureau de vote 0803","758","39","623","24","599","356","243"
" 0804 - Bureau de vote 0804","866","36","727","27","700","374","326"
" 0805 - Bureau de vote 0805","664","41","567","19","548","223","325"
" 0806 - Bureau de vote 0806","582","9","464","14","450","224","226"
" 0807 - Bureau de vote 0807","1031","77","920","30","890","460","430"
" 0808 - Bureau de vote 0808","1174","60","1046","31","1015","561","454"
" 0809 - Bureau de vote 0809","821","20","644","18","626","408","218"
" 0810 - Bureau de vote 0810","820","31","689","17","672","435","237"
" 0811 - Bureau de vote 0811","1053","48","852","31","821","531","290"
" 0812 - Bureau de vote 0812","990","41","834","25","809","491","318"
" 0813 - Bureau de vote 0813","825","15","610","23","587","414","173"
" 0814 - Bureau de vote 0814","1117","59","975","42","933","564","369"
" 0815 - Bureau de vote 0815","904","51","790","30","760","493","267"
" 0816 - Bureau de vote 0816","657","31","574","14","560","312","248"
" 0817 - Bureau de vote 0817","980","50","824","32","792","458","334"
" 0818 - Bureau de vote 0818","952","41","817","31","786","450","336"
" 0819 - Bureau de vote 0819","814","24","669","20","649","467","182"
" 0820 - Bureau de vote 0820","855","50","780","31","749","317","432"
" 0901 - Bureau de vote 0901","830","30","675","27","648","361","287"
" 0902 - Bureau de vote 0902","869","35","728","31","697","345","352"
" 0903 - Bureau de vote 0903","824","35","668","21","647","367","280"
" 0904 - Bureau de vote 0904","776","38","695","24","671","332","339"
" 0905 - Bureau de vote 0905","681","23","554","17","537","320","217"
" 0906 - Bureau de vote 0906","983","26","744","31","713","501","212"
" 0907 - Bureau de vote 0907","946","27","789","26","763","467","296"
" 0908 - Bureau de vote 0908","723","17","553","13","540","399","141"
" 0909 - Bureau de vote 0909","760","14","542","15","527","384","143"
" 0910 - Bureau de vote 0910","754","27","632","26","606","374","232"
" 0911 - Bureau de vote 0911","920","43","787","38","749","416","333"
" 0912 - Bureau de vote 0912","765","35","625","29","596","385","211"
" 0913 - Bureau de vote 0913","928","40","809","21","788","543","245"
" 0914 - Bureau de vote 0914","887","34","740","23","717","435","282"
" 0915 - Bureau de vote 0915","810","27","667","29","638","448","190"
" 0916 - Bureau de vote 0916","990","68","896","28","868","522","346"
" 0917 - Bureau de vote 0917","725","38","643","30","613","393","220"
" 0918 - Bureau de vote 0918","1105","40","921","32","889","519","370"
" 0919 - Bureau de vote 0919","848","40","735","32","703","444","259"
" 0920 - Bureau de vote 0920","755","26","622","24","598","421","177"
" 0921 - Bureau de vote 0921","1008","46","856","32","824","524","300"
" 0922 - Bureau de vote 0922","1152","57","1015","37","978","594","384"
" 0923 - Bureau de vote 0923","777","24","674","26","648","351","297"
" 0924 - Bureau de vote 0924","554","15","481","17","464","270","194"
" 1001 - Bureau de vote 1001","877","30","704","25","679","421","258"
" 1002 - Bureau de vote 1002","836","35","681","26","655","400","255"
" 1003 - Bureau de vote 1003","898","21","655","14","641","465","176"
" 1004 - Bureau de vote 1004","892","40","726","42","684","428","256"
" 1005 - Bureau de vote 1005","771","30","636","18","618","400","218"
" 1006 - Bureau de vote 1006","672","28","546","26","520","320","200"
" 1007 - Bureau de vote 1007","764","55","645","27","618","367","251"
" 1008 - Bureau de vote 1008","664","28","563","12","551","327","224"
" 1009 - Bureau de vote 1009","514","18","443","21","422","282","140"
" 1101 - Bureau de vote 1101","682","17","519","20","499","344","155"
" 1102 - Bureau de vote 1102","923","34","716","15","701","494","207"
" 1103 - Bureau de vote 1103","807","39","687","18","669","384","285"
" 1104 - Bureau de vote 1104","776","37","667","33","634","333","301"
" 1105 - Bureau de vote 1105","673","29","565","21","544","274","270"
" 1106 - Bureau de vote 1106","673","35","575","17","558","294","264"
" 1107 - Bureau de vote 1107","740","28","596","16","580","368","212"
" 1108 - Bureau de vote 1108","757","14","495","10","485","390","95"
" 1109 - Bureau de vote 1109","559","15","404","11","393","252","141"
" 1110 - Bureau de vote 1110","877","27","689","21","668","394","274"
" 1111 - Bureau de vote 1111","826","18","579","9","570","436","134"
" 1112 - Bureau de vote 1112","788","40","622","17","605","340","265"
" 1113 - Bureau de vote 1113","962","44","785","24","761","382","379"
" 1114 - Bureau de vote 1114","719","28","557","18","539","353","186"
" 1115 - Bureau de vote 1115","828","41","687","23","664","341","323"
