BUREAU_DE_VOTE,IDBUREAU,INSCRITS,PROCURATIONS,VOTANTS,NULS,EXPRIMES,FOURAGE,COMBARNOUS,AYRAULT,BREUS,BLINEAU,JOZAN,DEFRANCE,FOURAGE_P,COMBARNOUS_P,AYRAULT_P,BREUS_P,BLINEAU_P,JOZAN_P,DEFRANCE_P
 0804 - Bureau de vote 0804,0804,870,15,481,6,475,20,7,267,4,25,145,7,4.2105263158,1.4736842105,56.2105263158,0.8421052632,5.2631578947,30.5263157895,1.4736842105
 0805 - Bureau de vote 0805,0805,655,14,408,3,405,5,3,176,4,39,175,3,1.2345679012,0.7407407407,43.4567901235,0.987654321,9.6296296296,43.2098765432,0.7407407407
 0806 - Bureau de vote 0806,0806,599,4,358,5,353,12,5,169,3,30,132,2,3.3994334278,1.4164305949,47.8753541076,0.8498583569,8.4985835694,37.3937677054,0.566572238
 0807 - Bureau de vote 0807,0807,1067,17,662,7,655,19,7,368,5,67,183,6,2.9007633588,1.0687022901,56.1832061069,0.7633587786,10.2290076336,27.9389312977,0.9160305344
 0808 - Bureau de vote 0808,0808,1187,23,689,16,673,24,8,360,4,65,202,10,3.5661218425,1.1887072808,53.4918276374,0.5943536404,9.6582466568,30.014858841,1.485884101
 0809 - Bureau de vote 0809,0809,843,9,401,10,391,11,1,276,3,22,73,5,2.8132992327,0.2557544757,70.5882352941,0.7672634271,5.6265984655,18.6700767263,1.2787723785
 0810 - Bureau de vote 0810,0810,815,7,492,15,477,18,3,323,4,26,91,12,3.7735849057,0.6289308176,67.714884696,0.8385744235,5.4507337526,19.0775681342,2.5157232704
 0811 - Bureau de vote 0811,0811,1063,7,581,20,561,21,1,378,6,31,106,18,3.743315508,0.1782531194,67.3796791444,1.0695187166,5.5258467023,18.8948306595,3.2085561497
 0812 - Bureau de vote 0812,0812,1000,11,608,14,594,33,4,369,4,37,140,7,5.5555555556,0.6734006734,62.1212121212,0.6734006734,6.228956229,23.569023569,1.1784511785
 0813 - Bureau de vote 0813,0813,838,3,301,10,291,20,3,220,2,7,28,11,6.8728522337,1.0309278351,75.6013745704,0.6872852234,2.4054982818,9.6219931271,3.7800687285
 0814 - Bureau de vote 0814,0814,1141,13,691,12,679,24,4,435,11,50,145,10,3.5346097202,0.58910162,64.0648011782,1.6200294551,7.3637702504,21.3549337261,1.4727540501
 0815 - Bureau de vote 0815,0815,952,13,573,6,567,29,6,381,1,44,96,10,5.114638448,1.0582010582,67.1957671958,0.176366843,7.7601410935,16.9312169312,1.7636684303
 0816 - Bureau de vote 0816,0816,671,8,399,9,390,11,4,227,6,26,110,6,2.8205128205,1.0256410256,58.2051282051,1.5384615385,6.6666666667,28.2051282051,1.5384615385
 0817 - Bureau de vote 0817,0817,983,13,520,12,508,25,4,291,8,25,148,7,4.9212598425,0.7874015748,57.2834645669,1.5748031496,4.9212598425,29.1338582677,1.3779527559
 0818 - Bureau de vote 0818,0818,988,12,535,17,518,18,4,315,3,37,137,4,3.4749034749,0.7722007722,60.8108108108,0.5791505792,7.1428571429,26.4478764479,0.7722007722
 0819 - Bureau de vote 0819,0819,849,11,483,12,471,30,4,335,7,13,70,12,6.3694267516,0.8492569002,71.1252653928,1.4861995754,2.7600849257,14.8619957537,2.5477707006
 0820 - Bureau de vote 0820,0820,871,9,547,11,536,17,1,267,4,55,186,6,3.171641791,0.1865671642,49.8134328358,0.7462686567,10.2611940299,34.7014925373,1.1194029851
 0901 - Bureau de vote 0901,0901,834,9,452,5,447,23,5,247,3,21,140,8,5.1454138702,1.1185682327,55.2572706935,0.6711409396,4.6979865772,31.3199105145,1.7897091723
 0902 - Bureau de vote 0902,0902,875,9,486,12,474,15,10,241,2,42,153,11,3.164556962,2.1097046414,50.8438818565,0.4219409283,8.8607594937,32.2784810127,2.3206751055
 0903 - Bureau de vote 0903,0903,848,12,476,6,470,19,4,252,5,47,137,6,4.0425531915,0.8510638298,53.6170212766,1.0638297872,10,29.1489361702,1.2765957447
 0904 - Bureau de vote 0904,0904,766,13,497,6,491,5,3,245,0,41,194,3,1.0183299389,0.6109979633,49.8981670061,0,8.350305499,39.5112016293,0.6109979633
 0905 - Bureau de vote 0905,0905,665,8,354,5,349,8,2,240,2,12,79,6,2.2922636103,0.5730659026,68.7679083095,0.5730659026,3.4383954155,22.6361031519,1.7191977077
 0906 - Bureau de vote 0906,0906,1008,4,421,8,413,17,1,293,5,14,72,11,4.1162227603,0.2421307506,70.9443099274,1.210653753,3.3898305085,17.4334140436,2.6634382567
 0907 - Bureau de vote 0907,0907,990,14,539,8,531,16,8,341,7,37,110,12,3.0131826742,1.5065913371,64.2184557439,1.31826742,6.9679849341,20.7156308851,2.2598870056
 0908 - Bureau de vote 0908,0908,723,1,311,4,307,19,2,225,6,8,40,7,6.1889250814,0.651465798,73.2899022801,1.9543973941,2.6058631922,13.0293159609,2.2801302932
 0909 - Bureau de vote 0909,0909,759,5,353,8,345,14,8,261,3,6,48,5,4.0579710145,2.3188405797,75.652173913,0.8695652174,1.7391304348,13.9130434783,1.4492753623
 0910 - Bureau de vote 0910,0910,774,7,448,12,436,18,3,303,4,17,80,11,4.128440367,0.6880733945,69.495412844,0.9174311927,3.8990825688,18.3486238532,2.5229357798
 0911 - Bureau de vote 0911,0911,927,10,494,2,492,16,4,302,10,15,140,5,3.2520325203,0.8130081301,61.3821138211,2.0325203252,3.0487804878,28.4552845528,1.0162601626
 0912 - Bureau de vote 0912,0912,773,2,411,15,396,13,8,265,2,19,83,6,3.2828282828,2.0202020202,66.9191919192,0.5050505051,4.797979798,20.9595959596,1.5151515152
 0913 - Bureau de vote 0913,0913,959,10,578,17,561,23,6,382,1,43,96,10,4.0998217469,1.0695187166,68.0926916221,0.1782531194,7.6648841355,17.1122994652,1.7825311943
 0914 - Bureau de vote 0914,0914,895,8,580,15,565,28,5,340,9,34,135,14,4.9557522124,0.8849557522,60.1769911504,1.592920354,6.017699115,23.8938053097,2.4778761062
 0915 - Bureau de vote 0915,0915,825,6,484,8,476,29,3,309,8,15,82,30,6.0924369748,0.6302521008,64.9159663866,1.6806722689,3.1512605042,17.2268907563,6.3025210084
 0916 - Bureau de vote 0916,0916,993,19,690,14,676,22,5,409,8,50,177,5,3.2544378698,0.7396449704,60.5029585799,1.1834319527,7.3964497041,26.1834319527,0.7396449704
 0917 - Bureau de vote 0917,0917,734,6,487,16,471,21,10,284,6,27,106,17,4.4585987261,2.1231422505,60.2972399151,1.2738853503,5.7324840764,22.5053078556,3.6093418259
 0918 - Bureau de vote 0918,0918,1118,8,624,9,615,22,7,383,5,26,161,11,3.5772357724,1.1382113821,62.2764227642,0.8130081301,4.2276422764,26.1788617886,1.7886178862
 0919 - Bureau de vote 0919,0919,863,22,541,2,539,18,13,348,4,23,124,9,3.3395176252,2.4118738404,64.5640074212,0.7421150278,4.26716141,23.0055658627,1.6697588126
 0920 - Bureau de vote 0920,0920,748,7,453,6,447,19,5,334,4,17,57,11,4.2505592841,1.1185682327,74.7203579418,0.8948545861,3.8031319911,12.7516778523,2.4608501119
 0921 - Bureau de vote 0921,0921,995,13,614,12,602,30,5,379,10,29,140,9,4.9833887043,0.8305647841,62.9568106312,1.6611295681,4.8172757475,23.2558139535,1.4950166113
 0922 - Bureau de vote 0922,0922,1202,15,765,20,745,19,9,449,9,49,193,17,2.5503355705,1.2080536913,60.2684563758,1.2080536913,6.5771812081,25.9060402685,2.2818791946
 0923 - Bureau de vote 0923,0923,801,6,465,7,458,16,1,280,3,35,112,11,3.4934497817,0.2183406114,61.135371179,0.6550218341,7.6419213974,24.4541484716,2.4017467249
 0924 - Bureau de vote 0924,0924,552,3,290,4,286,5,0,193,1,20,63,4,1.7482517483,0,67.4825174825,0.3496503497,6.993006993,22.027972028,1.3986013986
 1001 - Bureau de vote 1001,1001,898,5,452,10,442,19,7,290,3,19,97,7,4.2986425339,1.5837104072,65.6108597285,0.6787330317,4.2986425339,21.9457013575,1.5837104072
 1002 - Bureau de vote 1002,1002,843,2,470,7,463,16,8,267,3,37,123,9,3.4557235421,1.7278617711,57.6673866091,0.6479481641,7.9913606911,26.56587473,1.9438444924
 1003 - Bureau de vote 1003,1003,891,2,397,10,387,13,5,297,6,12,44,10,3.3591731266,1.2919896641,76.7441860465,1.5503875969,3.1007751938,11.3695090439,2.5839793282
 1004 - Bureau de vote 1004,1004,900,6,474,6,468,24,6,287,7,36,100,8,5.1282051282,1.2820512821,61.3247863248,1.4957264957,7.6923076923,21.3675213675,1.7094017094
 1005 - Bureau de vote 1005,1005,783,11,434,9,425,14,6,282,6,26,84,7,3.2941176471,1.4117647059,66.3529411765,1.4117647059,6.1176470588,19.7647058824,1.6470588235
 1006 - Bureau de vote 1006,1006,698,4,395,8,387,10,5,254,0,18,92,8,2.5839793282,1.2919896641,65.6330749354,0,4.6511627907,23.7726098191,2.0671834625
 1007 - Bureau de vote 1007,1007,774,6,401,8,393,8,11,236,1,28,106,3,2.0356234097,2.7989821883,60.0508905852,0.2544529262,7.1246819338,26.9720101781,0.7633587786
 1008 - Bureau de vote 1008,1008,688,7,402,8,394,12,5,247,2,11,108,9,3.0456852792,1.269035533,62.6903553299,0.5076142132,2.7918781726,27.4111675127,2.2842639594
 1009 - Bureau de vote 1009,1009,530,4,285,8,277,14,8,175,2,21,55,2,5.0541516245,2.8880866426,63.1768953069,0.7220216606,7.5812274368,19.8555956679,0.7220216606
 1101 - Bureau de vote 1101,1101,688,8,377,3,374,9,8,273,3,9,66,6,2.4064171123,2.1390374332,72.9946524064,0.8021390374,2.4064171123,17.6470588235,1.6042780749
 1102 - Bureau de vote 1102,1102,943,8,473,7,466,16,3,331,1,28,78,9,3.4334763948,0.643776824,71.0300429185,0.2145922747,6.008583691,16.7381974249,1.9313304721
 1103 - Bureau de vote 1103,1103,809,8,497,8,489,25,8,274,9,30,140,3,5.1124744376,1.63599182,56.0327198364,1.8404907975,6.1349693252,28.6298568507,0.6134969325
 1104 - Bureau de vote 1104,1104,774,11,501,13,488,24,8,272,4,43,127,10,4.9180327869,1.6393442623,55.737704918,0.8196721311,8.8114754098,26.0245901639,2.0491803279
 1105 - Bureau de vote 1105,1105,677,9,409,11,398,6,7,195,4,23,156,7,1.5075376884,1.7587939698,48.9949748744,1.0050251256,5.7788944724,39.1959798995,1.7587939698
 1106 - Bureau de vote 1106,1106,672,11,413,7,406,13,6,206,1,29,146,5,3.2019704433,1.4778325123,50.7389162562,0.2463054187,7.1428571429,35.960591133,1.2315270936
 1107 - Bureau de vote 1107,1107,732,2,456,4,452,22,8,284,1,30,103,4,4.8672566372,1.7699115044,62.8318584071,0.2212389381,6.6371681416,22.7876106195,0.8849557522
 1108 - Bureau de vote 1108,1108,741,1,240,3,237,6,1,202,1,6,17,4,2.5316455696,0.4219409283,85.2320675105,0.4219409283,2.5316455696,7.1729957806,1.6877637131
 1109 - Bureau de vote 1109,1109,556,4,238,2,236,10,4,156,1,13,44,8,4.2372881356,1.6949152542,66.1016949153,0.4237288136,5.5084745763,18.6440677966,3.3898305085
 1110 - Bureau de vote 1110,1110,896,7,504,11,493,15,3,300,6,18,144,7,3.0425963489,0.6085192698,60.8519269777,1.2170385396,3.6511156187,29.2089249493,1.4198782961
 1111 - Bureau de vote 1111,1111,825,4,339,5,334,15,4,266,2,5,31,11,4.4910179641,1.1976047904,79.6407185629,0.5988023952,1.497005988,9.2814371257,3.2934131737
 1112 - Bureau de vote 1112,1112,801,10,422,8,414,19,5,237,3,19,123,8,4.5893719807,1.2077294686,57.2463768116,0.7246376812,4.5893719807,29.7101449275,1.9323671498
 1113 - Bureau de vote 1113,1113,959,10,545,10,535,13,2,303,3,30,178,6,2.4299065421,0.3738317757,56.6355140187,0.5607476636,5.6074766355,33.2710280374,1.1214953271
 1114 - Bureau de vote 1114,1114,727,6,380,3,377,16,2,237,4,15,99,4,4.2440318302,0.5305039788,62.8647214854,1.0610079576,3.9787798408,26.2599469496,1.0610079576
 1115 - Bureau de vote 1115,1115,852,8,538,9,529,19,5,268,5,37,190,5,3.5916824197,0.9451795841,50.6616257089,0.9451795841,6.9943289225,35.9168241966,0.9451795841
