X,Y,Z,IDOBJ,IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,2444004040,24440040_1,24440040_2,24440040_3,24440040_4,24440040_5,24440040_6,24440040_7,24440040_8,24440040_9,2444004010,2444004011,2444004012,2444004013,2444004014,2444004015,2444004016,2444004017,2444004018,2444004019
-1.555352402494491,47.229248461998331,0, 1090119,0119,19, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,444,0119 - Bureau de vote 0119,801,8,444,5,439,15,11,223,4,43,136,7,3.416856492,2.5056947608,50.7972665148,0.9111617312,9.7949886105,30.979498861,1.5945330296
-1.558825586429667,47.22881375333597,0, 1090120,0120,20, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,376,0120 - Bureau de vote 0120,675,11,376,4,372,12,5,173,5,28,148,1,3.2258064516,1.3440860215,46.5053763441,1.3440860215,7.5268817204,39.7849462366,0.2688172043
-1.560933532833449,47.231909982589585,0, 1090121,0121,21, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,628,0121 - Bureau de vote 0121,1030,18,628,12,616,15,7,266,4,47,268,9,2.4350649351,1.1363636364,43.1818181818,0.6493506494,7.6298701299,43.5064935065,1.461038961
-1.550127268612014,47.226143455544353,0, 1090201,0201, 1, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,614,0201 - Bureau de vote 0201,1091,14,614,5,609,27,9,276,6,50,237,4,4.4334975369,1.4778325123,45.3201970443,0.9852216749,8.210180624,38.9162561576,0.6568144499
-1.543071755778577,47.224439302597609,0, 1090202,0202, 2, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,416,0202 - Bureau de vote 0202,798,23,416,10,406,12,17,185,4,16,169,3,2.9556650246,4.1871921182,45.5665024631,0.9852216749,3.9408866995,41.6256157635,0.7389162562
-1.548275526332082,47.223496806077947,0, 1090203,0203, 3, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,666,0203 - Bureau de vote 0203,1201,0,666,15,651,30,30,324,8,31,223,5,4.6082949309,4.6082949309,49.7695852535,1.2288786482,4.7619047619,34.2549923195,0.7680491551
-1.546665453542074,47.219960300320537,0, 1090204,0204, 4, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,561,0204 - Bureau de vote 0204,962,26,561,5,556,22,23,267,3,33,196,12,3.9568345324,4.1366906475,48.0215827338,0.5395683453,5.9352517986,35.2517985612,2.1582733813
-1.55103193634905,47.220479085889465,0, 1090205,0205, 5, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,613,0205 - Bureau de vote 0205,1094,19,613,18,595,18,22,259,4,54,230,8,3.025210084,3.6974789916,43.5294117647,0.6722689076,9.0756302521,38.6554621849,1.3445378151
-1.550344595230604,47.217078382037862,0, 1090206,0206, 6, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,478,0206 - Bureau de vote 0206,838,14,478,7,471,19,27,220,1,31,166,7,4.033970276,5.7324840764,46.7091295117,0.2123142251,6.5817409766,35.2441613588,1.4861995754
-1.547545401227734,47.228936523548214,0, 1090207,0207, 7, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,511,0207 - Bureau de vote 0207,867,30,511,10,501,18,4,205,2,25,242,5,3.5928143713,0.7984031936,40.9181636727,0.3992015968,4.9900199601,48.3033932136,0.998003992
