IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,X,Y
0304, 4,14,Molire,Ecole Maternelle,2 Rue du Cheval Blanc,  440109,Nantes,360,-1.554740385090499,47.215586874250995
0305, 5,15,Chne d'Aron,Ecole Elementaire,3 Rue de l'Hronnire,  440109,Nantes,363,-1.559772935658132,47.214555608380763
0306, 6,15,Chne d'Aron,Ecole Elementaire,3 Rue de l'Hronnire,  440109,Nantes,510,-1.562129090383399,47.212144326890282
0307, 7,15,Chne d'Aron,Ecole Elementaire,3 Rue de l'Hronnire,  440109,Nantes,483,-1.564925560812284,47.210291837739256
0308, 8,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,566,-1.549846614637417,47.213614111519014
0309, 9,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,425,-1.555829899762303,47.210329977710103
0310,10,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,541,-1.544204075011568,47.211760609156698
0311,11,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,436,-1.522668836844343,47.211898424534304
0312,12,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,557,-1.532324836762173,47.205144835149369
0313,13,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,463,-1.538820155193356,47.203836483962029
0314,14,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,473,-1.540252677354913,47.201496941220583
0315,15,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,424,-1.53911226650436,47.207939530985172
0316,16,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,425,-1.546703789634719,47.200402302679592
0317,17,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,400,-1.547127303548976,47.203969545051997
0318,18,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,301,-1.562290724594473,47.201168501173605
0319,19,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,515,-1.560013088632539,47.206416966369645
0320,20,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,375,-1.548639424059004,47.210843705928141
0321,21,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,411,-1.527157284891845,47.206835570613272
0401, 1,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,399,-1.561950777223672,47.21538893233398
0402, 2,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,492,-1.564511226395391,47.217044440520972
0403, 3,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,516,-1.567393121558467,47.218423855119305
0404, 4,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,531,-1.567081788146195,47.220510405353387
0405, 5,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,655,-1.573032295251624,47.221616038332719
0406, 6,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,439,-1.580271226689569,47.223557592299102
0407, 7,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,608,-1.583250192847429,47.212391500298438
0408, 8,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,640,-1.580948893469295,47.214518401030368
0409, 9,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,556,-1.578397439593335,47.217614861089821
0410,10,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,500,-1.585008843546879,47.216624045193541
0411,11,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,570,-1.576026723249392,47.217431566842912
0412,12,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,537,-1.580813827676882,47.219732005508696
0413,13,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,611,-1.584207994791415,47.2199941648188
0414,14,21,Boccage,Ecole Primaire,22B Rue Marie-Anne du Boccage,  440109,Nantes,562,-1.571413478133666,47.215449091020808
0415,15,21,Boccage,Ecole Primaire,22B Rue Marie-Anne du Boccage,  440109,Nantes,599,-1.572472801735695,47.218514395451827
0416,16,21,Boccage,Ecole Primaire,22B Rue Marie-Anne du Boccage,  440109,Nantes,473,-1.566125813288344,47.214857908165463
0417,17,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,567,-1.574952074392747,47.213060885626767
0418,18,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,460,-1.578609034344761,47.210207155684046
0419,19,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,713,-1.572034627780987,47.211690513058251
0420,20,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,515,-1.567568973689514,47.213070446366494
0421,21,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,574,-1.568801957223317,47.20909970874628
0422,22,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,456,-1.573027706877523,47.209306405435527
0423,23,22,Andr Lermite,Ecole Elementaire,5 Rue Evariste Luminais,  440109,Nantes,440,-1.57495879595893,47.206986413794908
0501, 1,23,Garennes,Ecole Elementaire,7 Place des Garennes,  440109,Nantes,620,-1.58114132207975,47.20601419866329
0502, 2,23,Garennes,Ecole Elementaire,7 Place des Garennes,  440109,Nantes,496,-1.576714796676296,47.203877490127724
0503, 3,23,Garennes,Ecole Elementaire,7 Place des Garennes,  440109,Nantes,578,-1.580132151228061,47.200663731403772
0504, 4,24,Mutualit,Ecole Elementaire,2 Rue de la Mutualit,  440109,Nantes,610,-1.59219768918921,47.202302612448392
0505, 5,24,Mutualit,Ecole Elementaire,2 Rue de la Mutualit,  440109,Nantes,609,-1.591257518337374,47.205751180920174
0506, 6,24,Mutualit,Ecole Elementaire,2 Rue de la Mutualit,  440109,Nantes,501,-1.591758718902782,47.209346689539665
0507, 7,24,Mutualit,Ecole Elementaire,2 Rue de la Mutualit,  440109,Nantes,607,-1.586261797186765,47.203954917840804
0508, 8,24,Mutualit,Ecole Elementaire,2 Rue de la Mutualit,  440109,Nantes,423,-1.587053777104207,47.207645332458718
0509, 9,24,Mutualit,Ecole Elementaire,2 Rue de la Mutualit,  440109,Nantes,544,-1.583702813716731,47.209783195077669
0510,10,25,Rformes,Ecole Primaire,12 Rue des Rformes,  440109,Nantes,659,-1.607520872561943,47.192450405718191
0511,11,25,Rformes,Ecole Primaire,12 Rue des Rformes,  440109,Nantes,597,-1.597099403334829,47.202992508458436
0512,12,26,Plessis-Cellier,Ecole Maternelle,59 Rue des Alouettes,  440109,Nantes,455,-1.612765144012896,47.19852177055521
0513,13,26,Plessis-Cellier,Ecole Maternelle,59 Rue des Alouettes,  440109,Nantes,478,-1.603554786726294,47.200235201270317
0514,14,26,Plessis-Cellier,Ecole Maternelle,59 Rue des Alouettes,  440109,Nantes,339,-1.601541427138216,47.203834765100247
